motor,etapa,master,ejecutores,orden_ejecucion,es_calentamiento,repeticion_util,repeticion,duracion_segundos,tiempo_jdbc_segundos,tiempo_computo_segundos,cpu_segundos,rss_inicial_mb,rss_final_mb,ordenes_fuente,detalles_fuente,usuarios_fuente,filas_resultado_etapa,dataset_max_order_id,python,spark,pandas,modalidad_lectura
pandas,t1,single-process,,3,False,2.0,3,2.860737,2.313471,0.451131,1.94,103.684,217.918,600000,600000,10000,600000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t1,single-process,,4,False,3.0,4,2.828678,2.275527,0.45332,1.93,104.203,218.465,600000,600000,10000,600000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t1,single-process,,5,False,4.0,5,2.821806,2.283813,0.443488,1.91,104.207,218.141,600000,600000,10000,600000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t1,single-process,,6,False,5.0,6,2.817568,2.260722,0.460241,1.92,104.691,218.777,600000,600000,10000,600000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t2,single-process,,1,True,,1,3.340939,2.678397,0.540394,2.2,103.988,175.641,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t2,single-process,,2,False,1.0,2,3.005222,2.371174,0.519603,2.0,104.105,176.086,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t2,single-process,,3,False,2.0,3,3.084107,2.445737,0.526693,2.06,104.938,176.234,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t2,single-process,,4,False,3.0,4,2.925406,2.294999,0.518048,2.01,104.527,176.645,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t2,single-process,,5,False,4.0,5,3.109045,2.418301,0.567294,2.17,104.297,176.543,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t2,single-process,,6,False,5.0,6,3.053761,2.409368,0.526833,2.07,104.324,176.602,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t3,single-process,,1,True,,1,3.322095,2.384018,0.799657,2.34,104.062,176.348,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t3,single-process,,2,False,1.0,2,3.197185,2.263148,0.795832,2.28,104.273,177.18,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t3,single-process,,3,False,2.0,3,3.326643,2.410449,0.779959,2.31,104.188,176.48,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t3,single-process,,4,False,3.0,4,3.246879,2.317898,0.789313,2.32,104.211,176.668,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t3,single-process,,5,False,4.0,5,3.323118,2.398187,0.78273,2.41,104.434,177.266,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t3,single-process,,6,False,5.0,6,3.261479,2.33961,0.78271,2.35,103.93,176.992,600000,600000,10000,570000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t4,single-process,,1,True,,1,3.559659,2.383524,1.03263,2.66,104.316,178.184,600000,600000,10000,40,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t4,single-process,,2,False,1.0,2,3.647869,2.517935,0.990188,2.59,104.582,178.668,600000,600000,10000,40,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t4,single-process,,3,False,2.0,3,3.463613,2.384521,0.92988,2.43,104.488,178.664,600000,600000,10000,40,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t4,single-process,,4,False,3.0,4,3.263612,2.223571,0.902394,2.59,104.438,178.441,600000,600000,10000,40,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t4,single-process,,5,False,4.0,5,3.363995,2.339528,0.887186,2.38,104.16,179.008,600000,600000,10000,40,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t4,single-process,,6,False,5.0,6,3.28895,2.249883,0.893548,2.39,104.184,178.547,600000,600000,10000,40,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t5,single-process,,1,True,,1,3.550236,2.381673,0.915333,2.49,104.539,187.379,600000,600000,10000,9500,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t5,single-process,,2,False,1.0,2,3.606726,2.411544,0.97141,2.57,103.812,187.27,600000,600000,10000,9500,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t5,single-process,,3,False,2.0,3,3.683679,2.442228,1.02494,2.67,104.691,187.227,600000,600000,10000,9500,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t5,single-process,,4,False,3.0,4,3.477782,2.360378,0.896884,2.46,104.398,186.445,600000,600000,10000,9500,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
