fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
omission,2pc,200,3,60.0,90.0,0.1,5.0,200,200,670,445,0.664179,0,0,0,,"{""0"": 73, ""200"": 226, ""503"": 373}",11000,60000,62000,7.583745804792888,0.0,0.0,80.2,84.37,False,,1788537328.37,90.903
omission,2pc,400,3,60.0,90.0,0.1,5.0,400,400,1047,681,0.65043,0,0,0,,"{""0"": 663, ""200"": 366, ""503"": 18}",17000,17000,17000,13.248223151885654,0.0,0.0,94.01,104.84,False,,1788537779.568,90.977
timing,2pc,50,3,60.0,90.0,0.1,5.0,50,50,100,38,0.38,0,0,0,,"{""0"": 38, ""200"": 62}",43000,60000,60000,1.514323906234632,0.0,0.0,71.78,74.03,False,,1788537998.978,90.841
timing,2pc,100,3,60.0,90.0,0.1,5.0,100,100,722,602,0.833795,16,16,0,1.0,"{""0"": 17, ""200"": 120, ""500"": 1, ""503"": 586}",5300,31000,62000,8.139185588644645,0.0,0.0,74.97,77.14,False,,1788538249.4,90.918
timing,2pc,200,3,60.0,90.0,0.1,5.0,200,200,488,288,0.590164,0,0,0,,"{""0"": 107, ""200"": 200, ""500"": 1, ""503"": 193}",7400,62000,62000,5.502413791752822,0.0,0.0,80.35,84.11,False,,1788538567.103,90.906
timing,2pc,400,3,60.0,90.0,0.1,5.0,400,400,910,530,0.582418,0,0,0,,"{""0"": 360, ""200"": 380, ""503"": 170}",17000,27000,28000,10.800485188911683,0.0,0.0,92.72,102.25,False,,1788539017.413,90.993
none,saga,50,3,60.0,90.0,0.0,5.0,50,50,158,77,0.487342,5,5,0,1.0,"{""0"": 24, ""200"": 81, ""503"": 53}",3000,62000,62000,1.7992399426578158,0.02,0.8,71.65,73.6,False,,1788539254.489,90.763
none,saga,100,3,60.0,90.0,0.0,5.0,100,100,372,272,0.731183,0,0,0,,"{""0"": 60, ""200"": 100, ""500"": 1, ""503"": 211}",3900,60000,60000,4.312382385413321,2.17,97.7,75.05,77.97,False,,1788539506.672,90.857
none,saga,200,3,60.0,90.0,0.0,5.0,200,200,534,310,0.580524,0,0,0,,"{""0"": 91, ""200"": 224, ""503"": 224}",7400,62000,62000,6.003547981124427,0.0,0.0,80.3,84.06,False,,1788539823.425,90.937
none,saga,400,3,60.0,90.0,0.0,5.0,400,400,1268,894,0.705047,0,0,0,,"{""0"": 733, ""200"": 374, ""503"": 161}",17000,24000,25000,15.11925590180468,0.0,0.0,96.39,105.22,False,,1788540953.222,91.023
omission,saga,50,3,60.0,90.0,0.1,5.0,50,50,111,37,0.333333,4,4,0,1.0,"{""0"": 26, ""200"": 74, ""500"": 3, ""503"": 8}",5700,60000,60000,1.3325219994202957,0.0,0.0,71.49,73.62,False,,1788541171.092,90.815
omission,saga,100,3,60.0,90.0,0.1,5.0,100,100,678,568,0.837758,5,5,0,1.0,"{""0"": 42, ""200"": 110, ""503"": 528}",3400,60000,62000,7.652425337062725,0.0,0.0,74.73,77.58,False,,1788541388.81,90.828
omission,saga,200,3,60.0,90.0,0.1,5.0,200,200,776,562,0.724227,10,10,0,1.0,"{""0"": 56, ""200"": 214, ""500"": 1, ""503"": 514}",13000,60000,60000,8.730406660926185,0.0,0.0,80.35,84.01,False,,1788541673.57,90.863
omission,saga,400,3,60.0,90.0,0.1,5.0,400,400,1330,935,0.703008,0,0,0,,"{""0"": 657, ""200"": 395, ""500"": 1, ""503"": 277}",17000,25000,28000,14.992402295162735,2.12,97.7,96.43,106.32,False,,1788542023.059,91.158
timing,saga,50,3,60.0,90.0,0.1,5.0,50,50,100,36,0.36,0,0,0,,"{""0"": 36, ""200"": 64}",44000,60000,60000,1.5123102252229192,0.0,0.0,71.37,73.42,False,,1788542244.647,90.808
timing,saga,100,3,60.0,90.0,0.1,5.0,100,100,263,163,0.619772,0,0,0,,"{""0"": 76, ""200"": 100, ""503"": 89}",4500,60000,60000,2.9624467847502864,0.0,0.0,74.34,77.33,False,,1788542465.819,90.801
